"code","name"
"06923","Brecknock Township"
"06924","Caernarvon Township"
"06924","Morgantown"
"06925","Centerport Borough"
"06926","Centre Township"
"06927","Colebrookdale Township"
"06928","Cumru Township"
"06929","District Township"
"06930","Douglass Township"
"06931","Earl Township"
"06932","Reiffton"
"06932","Exeter Township"
"06932","Linstead"
"06933","Greenwich Township"
"06934","Heidelberg Township"
"06935","Hereford Township"
"06936","Jefferson Township"
"06937","Leesport Borough"
"06938","Lenhartsville Borough"
"06939","Longswamp Township"
"06940","Lower Heidelsberg Township"
"06941","Lyons Borough"
"06942","Maidencreek Township"
"06943","Marion Township"
"06944","Maxatawny Township"
"06945","Mohnton Borough"
"06946","Hyde Park"
"06946","River View Park"
"06946","Muhlenberg Township"
"06947","North Heidelberg Township"
"06948","Oley Township"
"06949","Ontelaunee Township"
"06950","Penn Township"
"06951","Perry Township"
"06952","Pike Township"
"06953","Richmond Township"
"06954","Robeson Township"
"06955","Robesonia Borough"
"06956","Rockland Township"
"06957","Ruscombmanor Township"
"06958","Shoemakersville Borough"
"06959","Sinking Spring Borough"
"06960","South Heidelberg Township"
"06961","Spring Township"
"06961","Whitfield"
"06961","West Wyomissing"
"06962","St. Lawrence Borough"
"06963","Strausstown Borough"
"06964","Temple Borough"
"06965","Tilden Township"
"06966","Topton Borough"
"06967","Tulpehocken Township"
"06967","Rehrersburg"
"06968","Union Township"
"06969","Shartlesville"
"06969","Upper Bern Township"
"06970","Upper Tulpehocken Township"
"06971","Washington Township"
"06972","Wernersville Borough"
"06973","West Lawn Borough"
"06974","Windsor Township"
"06975","Womelsdorf Borough"
"06976","Wyomissing Hills Borough"
"07001","Altoona"
"07001","Juniata"
"07802","Hollidaysburg Borough"
"07803","Roaring Spring Borough"
"07804","Tyrone Borough"
"07905","Allegheny Township"
"07906","Antis Township"
"07906","Tipton"
"07907","Bellwood Borough"
"07908","Blair Township"
"07909","Catharine Township"
"07910","Duncansville Borough"
"07911","Frankstown Township"
"07912","Freedom Township"
"07912","East Freedom"
"07913","Claysburg"
"07913","Greenfield Township"
"07913","Sproul"
"07914","Huston Township"
"07915","Juniata Township"
"07915","Lakemont"
"07916","Logan Township"
"07917","Martinsburg Borough"
"07918","Newry Borough"
"07919","North Woodbury Township"
"07920","Snyder Township"
"07921","Taylor Township"
"07922","Tyrone Township"
"07923","Williamsburg Borough"
"07924","Woodbury Township"
"08801","Athens Borough"
"08802","Sayre Borough"
"08803","Towanda Borough"
"08904","Alba Borough"
"08905","Albany Township"
"08906","Armenia Township"
"08907","Asylum Township"
"08908","Athens Township"
